"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-19","5.14",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"90",",,W","73",",,W","  260",",,W","  260",",,W","13.0",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-20","4.03",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"95",",,W","78",",,W","  220",",,W","  230",",,W","10.1",",,W","16.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-21","4.03",",,W",,,"0.16",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"92",",,W","74",",,W","   40",",,W","  300",",,W","14.1",",,W","29.1",",,W","    1",",,W",,,"    1",",,W",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-22","2.68",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"94",",,W","78",",,W","  280",",,W","  280",",,W","10.1",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-23","2.01",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"95",",,W","78",",,W","  230",",,W","  210",",,W","10.1",",,W","17.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-24","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"95",",,W","79",",,W","  240",",,W","  230",",,W","13.0",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-25","4.70",",,W",,,"0.98",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"86",",,W","73",",,W","  300",",,W","  280",",,W","17.0",",,W","27.1",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-26","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"81",",,W","71",",,W","   50",",,W","   50",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-27","2.24",",,W",,,"0.00",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"85",",,W","70",",,W","  140",",,W","  130",",,W","8.1",",,W","15.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-28","3.80",",,W",,,"0.02",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"87",",,W","73",",,W","  250",",,W","  190",",,W","12.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-29","3.36",",,W",,,"0.10",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"85",",,W","72",",,W","  230",",,W","  230",",,W","13.0",",,W","19.9",",,W","    1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-30","4.70",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"87",",,W","73",",,W","  310",",,W","  270",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2022-07-31","2.01",",,W",,,"0.00","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"86",",,W","71",",,W","  170",",,W","  170",",,W","8.1",",,W","14.1",",,W",,,,,,,,,,,,
